epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.38427239656448364,-0.38427239656448364,0.4635947644710541,-0.4635947644710541
1,0.4712982773780823,-0.4712982773780823,0.5071215033531189,-0.5071215033531189
2,0.5284532904624939,-0.5284532904624939,0.5518120527267456,-0.5518120527267456
3,0.555033802986145,-0.555033802986145,0.5827171802520752,-0.5827171802520752
4,0.5660796761512756,-0.5660796761512756,0.583465576171875,-0.583465576171875
5,0.5897014141082764,-0.5897014141082764,0.608805239200592,-0.608805239200592
6,0.5927122235298157,-0.5927122235298157,0.6023080348968506,-0.6023080348968506
7,0.6072890162467957,-0.6072890162467957,0.586543083190918,-0.586543083190918
8,0.6062084436416626,-0.6062084436416626,0.625196099281311,-0.625196099281311
9,0.6168684363365173,-0.6168684363365173,0.6364520192146301,-0.6364520192146301
10,0.609834611415863,-0.609834611415863,0.6340143084526062,-0.6340143084526062
11,0.6273069381713867,-0.6273069381713867,0.6381750702857971,-0.6381750702857971
12,0.6340265870094299,-0.6340265870094299,0.6595567464828491,-0.6595567464828491
13,0.662059485912323,-0.662059485912323,0.6583921909332275,-0.6583921909332275
14,0.6561856865882874,-0.6561856865882874,0.6539422273635864,-0.6539422273635864
15,0.6586270928382874,-0.6586270928382874,0.6715449094772339,-0.6715449094772339
16,0.6648324131965637,-0.6648324131965637,0.682503342628479,-0.682503342628479
17,0.6656643152236938,-0.6656643152236938,0.6566931009292603,-0.6566931009292603
18,0.6633122563362122,-0.6633122563362122,0.651472270488739,-0.651472270488739
19,0.6792965531349182,-0.6792965531349182,0.6650634407997131,-0.6650634407997131
20,0.6861573457717896,-0.6861573457717896,0.6978920698165894,-0.6978920698165894
21,0.7001523971557617,-0.7001523971557617,0.6964131593704224,-0.6964131593704224
22,0.712533175945282,-0.712533175945282,0.7129505276679993,-0.7129505276679993
23,0.7155690789222717,-0.7155690789222717,0.7113001942634583,-0.7113001942634583
24,0.7213514447212219,-0.7213514447212219,0.7112537622451782,-0.7112537622451782
25,0.7238458395004272,-0.7238458395004272,0.7222402691841125,-0.7222402691841125
26,0.7132700681686401,-0.7132700681686401,0.6857384443283081,-0.6857384443283081
27,0.719714343547821,-0.719714343547821,0.7264969348907471,-0.7264969348907471
28,0.7346317172050476,-0.7346317172050476,0.7314699292182922,-0.7314699292182922
29,0.7337542176246643,-0.7337542176246643,0.7351385354995728,-0.7351385354995728
30,0.7368945479393005,-0.7368945479393005,0.7149176597595215,-0.7149176597595215
31,0.7417256832122803,-0.7417256832122803,0.7451616525650024,-0.7451616525650024
32,0.7496844530105591,-0.7496844530105591,0.7400563359260559,-0.7400563359260559
33,0.7437284588813782,-0.7437284588813782,0.7174727320671082,-0.7174727320671082
34,0.7467912435531616,-0.7467912435531616,0.7313598990440369,-0.7313598990440369
